YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Archuleta, CO",8007,29999,1033,12.8,1276
1997,"Archuleta, CO",8007,30518,1273,13.7,1479
1998,"Archuleta, CO",8007,32609,1233,12.7,1483
1999,"Archuleta, CO",8007,35949,1254,12.7,1510
2000,"Archuleta, CO",8007,38241,1379,13.2,1552
2001,"Archuleta, CO",8007,37327,1385,12.6,1525
2002,"Archuleta, CO",8007,37345,1498,13.3,1558
2003,"Archuleta, CO",8007,38642,1278,11.0,1565
2004,"Archuleta, CO",8007,40592,1258,10.6,1553
2005,"Archuleta, CO",8007,41860,1365,11.6,1577
2006,"Archuleta, CO",8007,46904,1291,10.5,1690
2007,"Archuleta, CO",8007,53200,1295,10.4,1689
2008,"Archuleta, CO",8007,51058,1424,11.3,1545
2009,"Archuleta, CO",8007,46013,1594,12.9,1525
