YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Benewah, ID",16009,30191,1312,14.6,1320
1997,"Benewah, ID",16009,31728,1310,14.4,1347
1998,"Benewah, ID",16009,33525,1389,15.2,1328
1999,"Benewah, ID",16009,32246,1356,14.9,1290
2000,"Benewah, ID",16009,33292,1230,13.8,1824
2001,"Benewah, ID",16009,32293,1249,14.1,1815
2002,"Benewah, ID",16009,32458,1216,13.6,1687
2003,"Benewah, ID",16009,33178,1143,12.9,1661
2004,"Benewah, ID",16009,34724,1153,12.7,1642
2005,"Benewah, ID",16009,35274,1348,14.9,1616
2006,"Benewah, ID",16009,37736,1370,14.9,1653
2007,"Benewah, ID",16009,38402,1384,15.2,1609
2008,"Benewah, ID",16009,39173,1380,15.0,1626
2009,"Benewah, ID",16009,36635,1483,16.3,1556
