YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Big Horn, WY",56003,29173,1464,13.0,2513
1997,"Big Horn, WY",56003,31792,1405,12.4,2595
1998,"Big Horn, WY",56003,32995,1391,12.4,2600
1999,"Big Horn, WY",56003,33020,1597,14.1,2572
2000,"Big Horn, WY",56003,34478,1564,14.1,2533
2001,"Big Horn, WY",56003,34134,1615,14.6,2485
2002,"Big Horn, WY",56003,34605,1508,13.6,2369
2003,"Big Horn, WY",56003,35559,1482,13.2,2320
2004,"Big Horn, WY",56003,36930,1338,12.0,2360
2005,"Big Horn, WY",56003,36597,1433,13.0,2218
2006,"Big Horn, WY",56003,38960,1377,12.4,2279
2007,"Big Horn, WY",56003,47712,1090,9.9,2109
2008,"Big Horn, WY",56003,44304,1265,11.4,2087
2009,"Big Horn, WY",56003,45070,1200,10.6,2096
