YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Bon Homme, SD",46009,25368,914,13.9,1511
1997,"Bon Homme, SD",46009,28703,877,13.7,1589
1998,"Bon Homme, SD",46009,30372,840,13.2,1570
1999,"Bon Homme, SD",46009,30684,710,11.3,1519
2000,"Bon Homme, SD",46009,32197,697,11.2,1463
2001,"Bon Homme, SD",46009,31575,807,13.3,1456
2002,"Bon Homme, SD",46009,30375,874,14.4,1397
2003,"Bon Homme, SD",46009,32488,786,13.0,1355
2004,"Bon Homme, SD",46009,33466,823,13.7,1245
2005,"Bon Homme, SD",46009,34058,833,14.1,1239
2006,"Bon Homme, SD",46009,35158,872,14.8,1192
2007,"Bon Homme, SD",46009,37978,816,14.2,1158
2008,"Bon Homme, SD",46009,40010,805,14.2,1130
2009,"Bon Homme, SD",46009,39485,864,15.5,1092
