YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Boone, IL",17007,46316,2263,6.1,6037
1997,"Boone, IL",17007,49782,2391,6.1,6646
1998,"Boone, IL",17007,51925,2483,6.2,7689
1999,"Boone, IL",17007,51778,2733,6.6,7855
2000,"Boone, IL",17007,53721,2781,6.5,7328
2001,"Boone, IL",17007,52777,2945,6.6,7703
2002,"Boone, IL",17007,52722,3340,7.2,7997
2003,"Boone, IL",17007,53078,3731,7.7,8260
2004,"Boone, IL",17007,54926,3957,7.9,9084
2005,"Boone, IL",17007,55521,3981,8.0,9568
2006,"Boone, IL",17007,56745,4566,8.8,10035
2007,"Boone, IL",17007,59405,5213,9.8,10457
2008,"Boone, IL",17007,62531,4008,7.5,10859
2009,"Boone, IL",17007,60425,4740,8.9,10710
