YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Carroll, VA",51035,26571,3858,13.8,3932
1997,"Carroll, VA",51035,28375,4041,14.4,3987
1998,"Carroll, VA",51035,29523,3889,13.9,4017
1999,"Carroll, VA",51035,30130,3629,12.4,4024
2000,"Carroll, VA",51035,31381,3612,12.3,4000
2001,"Carroll, VA",51035,30411,3725,12.8,4008
2002,"Carroll, VA",51035,30894,4004,13.6,3990
2003,"Carroll, VA",51035,31788,4088,13.9,3993
2004,"Carroll, VA",51035,32812,3931,13.3,4082
2005,"Carroll, VA",51035,32430,4720,16.4,4061
2006,"Carroll, VA",51035,35822,4070,13.9,4048
2007,"Carroll, VA",51035,35823,4033,13.9,4055
2008,"Carroll, VA",51035,35651,4549,15.7,4086
2009,"Carroll, VA",51035,34240,4886,16.9,4076
