YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Carter, KY",21043,22481,7102,27.1,4870
1997,"Carter, KY",21043,23986,6395,23.8,5086
1998,"Carter, KY",21043,25862,6109,22.5,5021
1999,"Carter, KY",21043,26622,5557,21.0,5189
2000,"Carter, KY",21043,28057,5173,19.6,4770
2001,"Carter, KY",21043,27073,5564,21.0,4741
2002,"Carter, KY",21043,27602,5574,20.9,4753
2003,"Carter, KY",21043,29035,5492,20.4,4997
2004,"Carter, KY",21043,29428,6084,22.7,5101
2005,"Carter, KY",21043,30267,5350,20.1,5232
2006,"Carter, KY",21043,30266,6289,23.6,5227
2007,"Carter, KY",21043,32281,5164,19.3,4877
2008,"Carter, KY",21043,33435,5566,20.8,5087
2009,"Carter, KY",21043,33888,6537,25.0,5000
