YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Catoosa, GA",13047,33701,5684,11.7,8031
1997,"Catoosa, GA",13047,35597,5916,11.6,8526
1998,"Catoosa, GA",13047,37596,5927,11.3,8746
1999,"Catoosa, GA",13047,38930,5308,10.0,8928
2000,"Catoosa, GA",13047,40685,5219,9.6,9165
2001,"Catoosa, GA",13047,40152,5735,10.2,9394
2002,"Catoosa, GA",13047,40574,5952,10.3,9588
2003,"Catoosa, GA",13047,41947,6301,10.6,9679
2004,"Catoosa, GA",13047,42832,6638,11.0,10120
2005,"Catoosa, GA",13047,45840,6825,11.4,10230
2006,"Catoosa, GA",13047,45094,6395,10.4,10575
2007,"Catoosa, GA",13047,47022,7293,11.8,10674
2008,"Catoosa, GA",13047,47990,7112,11.4,10707
2009,"Catoosa, GA",13047,43814,8267,13.1,10658
