YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Clatsop, OR",41007,30840,4739,13.4,5459
1997,"Clatsop, OR",41007,33502,4727,13.3,5431
1998,"Clatsop, OR",41007,34716,4737,13.4,5448
1999,"Clatsop, OR",41007,35313,4352,12.4,5309
2000,"Clatsop, OR",41007,36945,4192,11.9,5736
2001,"Clatsop, OR",41007,35687,4327,12.3,5587
2002,"Clatsop, OR",41007,35428,4261,12.0,5555
2003,"Clatsop, OR",41007,35999,4379,12.2,5617
2004,"Clatsop, OR",41007,37703,4724,13.0,5522
2005,"Clatsop, OR",41007,38752,4917,13.9,5365
2006,"Clatsop, OR",41007,38818,5280,14.4,5138
2007,"Clatsop, OR",41007,42091,4997,13.6,5176
2008,"Clatsop, OR",41007,44307,4889,13.3,5116
2009,"Clatsop, OR",41007,39375,5617,15.3,5020
