YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Coke, TX",48081,24644,521,15.6,691
1997,"Coke, TX",48081,25700,571,17.2,766
1998,"Coke, TX",48081,26975,543,16.5,766
1999,"Coke, TX",48081,28170,509,14.2,832
2000,"Coke, TX",48081,29818,568,15.8,724
2001,"Coke, TX",48081,29367,534,15.3,846
2002,"Coke, TX",48081,29132,522,15.1,823
2003,"Coke, TX",48081,29837,505,14.8,835
2004,"Coke, TX",48081,30092,433,13.0,801
2005,"Coke, TX",48081,30657,485,14.7,803
2006,"Coke, TX",48081,31831,482,14.5,813
2007,"Coke, TX",48081,33812,450,13.9,817
2008,"Coke, TX",48081,35848,485,15.0,599
2009,"Coke, TX",48081,42936,524,17.1,556
