YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Denver, CO",8031,31944,84195,17.0,62673
1997,"Denver, CO",8031,35616,81561,16.4,64322
1998,"Denver, CO",8031,38943,78165,15.6,66331
1999,"Denver, CO",8031,39093,73764,13.5,68171
2000,"Denver, CO",8031,41657,72609,13.1,68790
2001,"Denver, CO",8031,40709,69856,12.7,69693
2002,"Denver, CO",8031,40082,79615,14.5,71164
2003,"Denver, CO",8031,40883,82866,15.1,72677
2004,"Denver, CO",8031,41767,83596,15.2,72433
2005,"Denver, CO",8031,42576,84627,15.6,72744
2006,"Denver, CO",8031,41357,109664,19.7,73024
2007,"Denver, CO",8031,44881,100271,17.4,75632
2008,"Denver, CO",8031,46305,105987,18.0,77817
2009,"Denver, CO",8031,46693,112871,18.8,80264
