YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Floyd, IA",19067,30552,1847,11.2,3191
1997,"Floyd, IA",19067,32486,1961,12.1,3128
1998,"Floyd, IA",19067,32700,1931,12.0,3144
1999,"Floyd, IA",19067,34596,1566,9.4,3099
2000,"Floyd, IA",19067,36349,1599,9.8,3035
2001,"Floyd, IA",19067,35660,1568,9.6,2993
2002,"Floyd, IA",19067,35849,1744,10.6,2928
2003,"Floyd, IA",19067,37101,1562,9.5,2851
2004,"Floyd, IA",19067,40050,1709,10.5,2761
2005,"Floyd, IA",19067,39841,1827,11.4,2656
2006,"Floyd, IA",19067,39527,1883,11.7,2677
2007,"Floyd, IA",19067,43541,1927,12.1,2654
2008,"Floyd, IA",19067,43393,1897,12.0,2637
2009,"Floyd, IA",19067,43288,1960,12.6,2624
