YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Gillespie, TX",48171,29494,2230,11.6,3008
1997,"Gillespie, TX",48171,31497,2322,11.8,3144
1998,"Gillespie, TX",48171,32861,2314,11.6,3204
1999,"Gillespie, TX",48171,36300,2242,11.0,3241
2000,"Gillespie, TX",48171,38551,2295,11.1,3241
2001,"Gillespie, TX",48171,38023,2427,11.5,3157
2002,"Gillespie, TX",48171,38606,2294,10.5,3198
2003,"Gillespie, TX",48171,40070,2383,10.8,3291
2004,"Gillespie, TX",48171,41702,2308,10.2,3369
2005,"Gillespie, TX",48171,41985,2301,10.3,3445
2006,"Gillespie, TX",48171,45386,2342,10.2,3440
2007,"Gillespie, TX",48171,49818,2270,9.9,3397
2008,"Gillespie, TX",48171,57244,2234,9.6,3424
2009,"Gillespie, TX",48171,49740,2609,11.0,3447
