YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Grundy, MO",29079,24374,1698,16.7,1825
1997,"Grundy, MO",29079,28036,1492,14.8,1723
1998,"Grundy, MO",29079,29291,1541,15.4,1786
1999,"Grundy, MO",29079,28314,1424,14.0,1758
2000,"Grundy, MO",29079,29214,1353,13.4,1792
2001,"Grundy, MO",29079,28188,1435,14.5,1809
2002,"Grundy, MO",29079,28722,1399,13.9,1820
2003,"Grundy, MO",29079,28763,1405,14.2,1755
2004,"Grundy, MO",29079,29788,1572,15.6,1619
2005,"Grundy, MO",29079,31760,1695,17.1,1703
2006,"Grundy, MO",29079,31245,1802,18.2,1590
2007,"Grundy, MO",29079,32596,1737,17.8,1588
2008,"Grundy, MO",29079,35381,1647,16.9,1578
2009,"Grundy, MO",29079,35543,1522,15.7,1542
