YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Halifax, VA",51083,22785,5767,15.4,5798
1997,"Halifax, VA",51083,28485,6325,17.2,6453
1998,"Halifax, VA",51083,29399,5898,16.0,6418
1999,"Halifax, VA",51083,29589,5183,14.1,6239
2000,"Halifax, VA",51083,30690,5297,14.6,6221
2001,"Halifax, VA",51083,29743,5345,14.8,6157
2002,"Halifax, VA",51083,29672,6015,16.7,6030
2003,"Halifax, VA",51083,30022,5847,16.3,6000
2004,"Halifax, VA",51083,31030,5715,16.0,5908
2005,"Halifax, VA",51083,32334,5506,15.6,5936
2006,"Halifax, VA",51083,33318,6507,18.4,5894
2007,"Halifax, VA",51083,32490,6462,18.6,5907
2008,"Halifax, VA",51083,34580,6732,19.5,6101
2009,"Halifax, VA",51083,35458,6819,19.8,6023
