YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Hamilton, FL",12047,22719,2845,25.8,2332
1997,"Hamilton, FL",12047,24174,2932,26.2,2360
1998,"Hamilton, FL",12047,24610,2759,24.5,2338
1999,"Hamilton, FL",12047,25117,2432,22.4,2332
2000,"Hamilton, FL",12047,26032,2637,24.2,2250
2001,"Hamilton, FL",12047,24691,2831,26.2,2228
2002,"Hamilton, FL",12047,24031,2764,25.3,2173
2003,"Hamilton, FL",12047,25109,2420,21.8,2159
2004,"Hamilton, FL",12047,26411,2295,20.9,2057
2005,"Hamilton, FL",12047,28301,2899,26.6,2017
2006,"Hamilton, FL",12047,30399,2701,24.3,2010
2007,"Hamilton, FL",12047,30971,3100,27.7,2036
2008,"Hamilton, FL",12047,32444,3302,29.3,2018
2009,"Hamilton, FL",12047,31038,3280,28.5,1948
