YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Hancock, IL",17067,31159,2156,10.1,4373
1997,"Hancock, IL",17067,35162,2172,10.3,4363
1998,"Hancock, IL",17067,35566,2231,10.6,4853
1999,"Hancock, IL",17067,36358,1937,9.7,4877
2000,"Hancock, IL",17067,38223,1920,9.8,4239
2001,"Hancock, IL",17067,37706,1843,9.5,4040
2002,"Hancock, IL",17067,37704,1971,10.3,4033
2003,"Hancock, IL",17067,37964,1884,9.8,3858
2004,"Hancock, IL",17067,40030,1844,9.8,3670
2005,"Hancock, IL",17067,38514,2061,11.0,3603
2006,"Hancock, IL",17067,40655,2017,10.8,3597
2007,"Hancock, IL",17067,45213,2000,10.8,3565
2008,"Hancock, IL",17067,41730,2067,11.3,3495
2009,"Hancock, IL",17067,43774,2092,11.6,3126
