YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Harlan, NE",31083,25243,401,10.6,389
1997,"Harlan, NE",31083,27747,412,11.1,409
1998,"Harlan, NE",31083,28344,479,13.0,421
1999,"Harlan, NE",31083,30744,404,10.7,413
2000,"Harlan, NE",31083,32031,401,10.9,407
2001,"Harlan, NE",31083,31601,416,11.5,396
2002,"Harlan, NE",31083,30406,426,11.7,358
2003,"Harlan, NE",31083,32242,356,9.9,373
2004,"Harlan, NE",31083,33264,362,10.5,333
2005,"Harlan, NE",31083,33375,406,12.0,340
2006,"Harlan, NE",31083,36078,407,12.0,314
2007,"Harlan, NE",31083,36490,431,13.0,334
2008,"Harlan, NE",31083,39057,392,12.0,323
2009,"Harlan, NE",31083,41112,414,13.1,314
