YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Haskell, KS",20081,39016,336,8.5,933
1997,"Haskell, KS",20081,42696,376,9.4,875
1998,"Haskell, KS",20081,43949,423,10.3,934
1999,"Haskell, KS",20081,41108,455,10.6,955
2000,"Haskell, KS",20081,41564,419,9.8,980
2001,"Haskell, KS",20081,41648,453,10.7,960
2002,"Haskell, KS",20081,37747,426,10.1,965
2003,"Haskell, KS",20081,38087,450,10.6,937
2004,"Haskell, KS",20081,40413,453,10.7,921
2005,"Haskell, KS",20081,43824,499,11.9,934
2006,"Haskell, KS",20081,42447,492,11.9,924
2007,"Haskell, KS",20081,46383,436,11.0,915
2008,"Haskell, KS",20081,48810,386,10.0,911
2009,"Haskell, KS",20081,51145,432,10.9,878
