YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Hidalgo, TX",48215,19957,210728,42.2,124307
1997,"Hidalgo, TX",48215,20034,196989,37.6,129484
1998,"Hidalgo, TX",48215,20856,190196,35.3,131364
1999,"Hidalgo, TX",48215,22746,190297,33.6,133027
2000,"Hidalgo, TX",48215,24855,185854,31.7,136005
2001,"Hidalgo, TX",48215,24115,195578,32.2,139502
2002,"Hidalgo, TX",48215,24449,208148,33.0,144376
2003,"Hidalgo, TX",48215,25894,202451,31.0,151680
2004,"Hidalgo, TX",48215,26375,205331,30.5,166988
2005,"Hidalgo, TX",48215,24808,272368,40.7,173833
2006,"Hidalgo, TX",48215,28538,253991,36.7,179359
2007,"Hidalgo, TX",48215,30153,238683,34.0,188774
2008,"Hidalgo, TX",48215,30513,250117,34.8,195971
2009,"Hidalgo, TX",48215,30360,258259,35.2,201272
