YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Jasper, MO",29097,28132,14972,15.3,17162
1997,"Jasper, MO",29097,29877,13943,14.0,17513
1998,"Jasper, MO",29097,31323,13815,13.8,18115
1999,"Jasper, MO",29097,31041,14076,13.7,18381
2000,"Jasper, MO",29097,32410,13532,13.0,18167
2001,"Jasper, MO",29097,31480,14462,13.8,18533
2002,"Jasper, MO",29097,31517,15410,14.5,18597
2003,"Jasper, MO",29097,32417,16020,14.9,18763
2004,"Jasper, MO",29097,32923,18462,17.0,19163
2005,"Jasper, MO",29097,33231,17886,16.7,19465
2006,"Jasper, MO",29097,34308,19484,17.7,19542
2007,"Jasper, MO",29097,37055,18901,16.8,20131
2008,"Jasper, MO",29097,38085,20419,17.9,20352
2009,"Jasper, MO",29097,38184,22818,19.8,20656
