YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Jones, GA",13169,36585,2735,12.2,4024
1997,"Jones, GA",13169,39176,2816,12.2,4416
1998,"Jones, GA",13169,41614,2521,10.8,4495
1999,"Jones, GA",13169,40866,2365,10.1,4610
2000,"Jones, GA",13169,43717,2330,9.8,4747
2001,"Jones, GA",13169,43016,2486,10.2,4740
2002,"Jones, GA",13169,42810,2546,10.1,4790
2003,"Jones, GA",13169,43634,2772,10.7,4870
2004,"Jones, GA",13169,45130,2826,10.7,5187
2005,"Jones, GA",13169,45727,3031,11.5,5234
2006,"Jones, GA",13169,45598,3113,11.8,5278
2007,"Jones, GA",13169,50652,3267,12.2,5544
2008,"Jones, GA",13169,51708,3288,12.1,5638
2009,"Jones, GA",13169,49618,3602,13.3,5669
