YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Kanawha, WV",54039,29872,35371,17.1,33979
1997,"Kanawha, WV",54039,32546,29057,14.3,32372
1998,"Kanawha, WV",54039,34242,29704,14.8,31795
1999,"Kanawha, WV",54039,33626,28570,14.3,31836
2000,"Kanawha, WV",54039,35414,25416,13.0,31095
2001,"Kanawha, WV",54039,34478,27498,14.2,30587
2002,"Kanawha, WV",54039,35355,27373,14.1,29658
2003,"Kanawha, WV",54039,36312,29489,15.2,29194
2004,"Kanawha, WV",54039,38012,27823,14.5,28787
2005,"Kanawha, WV",54039,38533,28567,15.1,28485
2006,"Kanawha, WV",54039,36885,28170,14.9,28798
2007,"Kanawha, WV",54039,40931,26390,14.0,28581
2008,"Kanawha, WV",54039,41488,29656,15.8,28976
2009,"Kanawha, WV",54039,41747,27060,14.4,29121
