YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"La Salle, LA",22059,25221,2390,17.3,2944
1997,"La Salle, LA",22059,27398,2133,15.6,2947
1998,"La Salle, LA",22059,28929,2214,16.2,2904
1999,"La Salle, LA",22059,28155,2334,17.4,2756
2000,"La Salle, LA",22059,29359,2171,16.4,3036
2001,"La Salle, LA",22059,29170,2318,17.5,2671
2002,"La Salle, LA",22059,29602,2333,17.6,2656
2003,"La Salle, LA",22059,30470,2295,17.3,2654
2004,"La Salle, LA",22059,32322,2370,18.1,2699
2005,"La Salle, LA",22059,30578,2599,19.9,2675
2006,"La Salle, LA",22059,33099,2393,18.3,2740
2007,"La Salle, LA",22059,36307,2402,18.4,2715
2008,"La Salle, LA",22059,38926,2120,16.2,2659
2009,"La Salle, LA",22059,41808,1977,15.2,2607
