YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,MINNESOTA,27000,37483,403056,8.7,810525
1997,MINNESOTA,27000,41591,417797,8.9,834414
1998,MINNESOTA,27000,45311,423735,8.9,830471
1999,MINNESOTA,27000,46153,364104,7.5,852685
2000,MINNESOTA,27000,49170,336594,6.9,856410
2001,MINNESOTA,27000,49619,354583,7.2,857874
2002,MINNESOTA,27000,50157,371109,7.5,856957
2003,MINNESOTA,27000,50750,400371,8.0,854122
2004,MINNESOTA,27000,51202,408794,8.1,842915
2005,MINNESOTA,27000,52048,455660,9.2,838503
2006,MINNESOTA,27000,54022,487044,9.7,839242
2007,MINNESOTA,27000,55664,481330,9.5,840565
2008,MINNESOTA,27000,57318,489714,9.6,837578
2009,MINNESOTA,27000,55621,558118,10.9,836048
