YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"McPherson, NE",31117,18769,153,26.3,104
1997,"McPherson, NE",31117,20856,86,15.2,113
1998,"McPherson, NE",31117,17391,116,20.6,112
1999,"McPherson, NE",31117,25356,76,14.3,120
2000,"McPherson, NE",31117,27681,70,13.0,115
2001,"McPherson, NE",31117,27192,72,13.1,108
2002,"McPherson, NE",31117,27368,75,13.8,95
2003,"McPherson, NE",31117,31340,64,12.1,89
2004,"McPherson, NE",31117,35869,58,11.5,98
2005,"McPherson, NE",31117,33677,71,14.1,79
2006,"McPherson, NE",31117,36693,71,14.4,68
2007,"McPherson, NE",31117,37712,64,12.8,80
2008,"McPherson, NE",31117,37225,66,12.9,0
2009,"McPherson, NE",31117,38192,81,16.7,0
