YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Menard, TX",48327,18945,664,28.6,450
1997,"Menard, TX",48327,19458,649,28.1,445
1998,"Menard, TX",48327,19696,585,25.8,481
1999,"Menard, TX",48327,23479,580,24.9,505
2000,"Menard, TX",48327,25098,562,24.2,499
2001,"Menard, TX",48327,24454,583,25.1,470
2002,"Menard, TX",48327,24876,537,23.2,469
2003,"Menard, TX",48327,25727,481,21.4,431
2004,"Menard, TX",48327,26609,455,21.0,389
2005,"Menard, TX",48327,27013,562,26.0,361
2006,"Menard, TX",48327,27327,498,23.0,362
2007,"Menard, TX",48327,32749,449,21.5,355
2008,"Menard, TX",48327,31211,435,20.8,346
2009,"Menard, TX",48327,29710,534,25.6,346
