YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Meriwether, GA",13199,25257,5073,22.4,4032
1997,"Meriwether, GA",13199,27349,4837,21.1,4209
1998,"Meriwether, GA",13199,28898,4388,19.2,4254
1999,"Meriwether, GA",13199,30016,3704,16.7,4207
2000,"Meriwether, GA",13199,31890,3693,16.7,4164
2001,"Meriwether, GA",13199,30674,3789,17.0,4117
2002,"Meriwether, GA",13199,30354,3824,17.1,4074
2003,"Meriwether, GA",13199,30858,3886,17.4,4088
2004,"Meriwether, GA",13199,30994,4059,18.0,3866
2005,"Meriwether, GA",13199,31780,4825,21.6,3834
2006,"Meriwether, GA",13199,37922,4374,19.6,3834
2007,"Meriwether, GA",13199,35093,4654,20.9,3721
2008,"Meriwether, GA",13199,35566,4174,18.7,3573
2009,"Meriwether, GA",13199,34861,4469,20.0,3449
