YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Midland, MI",26111,45080,7947,9.8,13652
1997,"Midland, MI",26111,48093,7335,9.0,14035
1998,"Midland, MI",26111,50536,7234,8.8,14329
1999,"Midland, MI",26111,47087,6493,7.9,14589
2000,"Midland, MI",26111,48997,6437,7.8,14671
2001,"Midland, MI",26111,48172,6230,7.5,14671
2002,"Midland, MI",26111,48131,6788,8.1,14561
2003,"Midland, MI",26111,48550,7478,9.0,14667
2004,"Midland, MI",26111,49050,8499,10.2,15682
2005,"Midland, MI",26111,47799,9645,11.7,15417
2006,"Midland, MI",26111,50013,9597,11.7,14629
2007,"Midland, MI",26111,51383,8450,10.4,14437
2008,"Midland, MI",26111,51953,7939,9.8,14350
2009,"Midland, MI",26111,51029,9917,12.2,14032
