YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Modoc, CA",6049,25124,1817,18.4,2329
1997,"Modoc, CA",6049,28174,1919,21.1,2363
1998,"Modoc, CA",6049,28910,1923,21.5,2329
1999,"Modoc, CA",6049,27872,1746,19.0,2241
2000,"Modoc, CA",6049,28859,1772,19.7,2098
2001,"Modoc, CA",6049,27893,1651,18.3,2046
2002,"Modoc, CA",6049,28072,1550,16.9,2255
2003,"Modoc, CA",6049,28425,1538,16.5,2360
2004,"Modoc, CA",6049,29526,1429,15.5,2302
2005,"Modoc, CA",6049,29506,1853,20.4,2237
2006,"Modoc, CA",6049,31610,1741,18.7,2146
2007,"Modoc, CA",6049,33713,1746,19.6,1607
2008,"Modoc, CA",6049,35319,1552,17.4,1656
2009,"Modoc, CA",6049,34290,1673,19.0,1277
