YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Osceola, IA",19143,30758,604,8.5,995
1997,"Osceola, IA",19143,34804,619,8.9,1046
1998,"Osceola, IA",19143,35498,566,8.1,1053
1999,"Osceola, IA",19143,35169,467,6.7,1067
2000,"Osceola, IA",19143,36830,469,6.8,1069
2001,"Osceola, IA",19143,36172,477,7.0,1022
2002,"Osceola, IA",19143,35473,514,7.6,964
2003,"Osceola, IA",19143,35655,461,6.8,940
2004,"Osceola, IA",19143,39739,491,7.4,913
2005,"Osceola, IA",19143,38587,542,8.2,887
2006,"Osceola, IA",19143,40217,560,8.6,865
2007,"Osceola, IA",19143,39750,529,8.3,875
2008,"Osceola, IA",19143,43681,555,8.8,877
2009,"Osceola, IA",19143,42469,570,9.2,869
