YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,PENNSYLVANIA,42000,34437,1360793,11.4,1744082
1997,PENNSYLVANIA,42000,37267,1297614,10.9,1787533
1998,PENNSYLVANIA,42000,39116,1277442,10.7,1804256
1999,PENNSYLVANIA,42000,38918,1207202,10.0,1815151
2000,PENNSYLVANIA,42000,41419,1135928,9.5,1816414
2001,PENNSYLVANIA,42000,42288,1205942,10.0,1816716
2002,PENNSYLVANIA,42000,42043,1210508,10.0,1814311
2003,PENNSYLVANIA,42000,42952,1279821,10.6,1821627
2004,PENNSYLVANIA,42000,43714,1361724,11.2,1821146
2005,PENNSYLVANIA,42000,44545,1416884,11.9,1828089
2006,PENNSYLVANIA,42000,46256,1442858,12.0,1830684
2007,PENNSYLVANIA,42000,48562,1392872,11.6,1871060
2008,PENNSYLVANIA,42000,50702,1454240,12.1,1794629
2009,PENNSYLVANIA,42000,49501,1517347,12.5,1769789
