YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Philadelphia, PA",42101,26854,351002,23.8,207667
1997,"Philadelphia, PA",42101,28897,311263,21.7,210503
1998,"Philadelphia, PA",42101,29560,299541,21.1,212150
1999,"Philadelphia, PA",42101,29210,285558,19.2,213684
2000,"Philadelphia, PA",42101,30720,271530,18.5,210480
2001,"Philadelphia, PA",42101,29946,283647,19.5,213377
2002,"Philadelphia, PA",42101,29540,293375,20.3,213224
2003,"Philadelphia, PA",42101,30414,288178,20.1,212591
2004,"Philadelphia, PA",42101,30892,309297,21.6,211849
2005,"Philadelphia, PA",42101,32671,339111,24.2,212079
2006,"Philadelphia, PA",42101,33368,347347,24.9,211905
2007,"Philadelphia, PA",42101,35431,328057,23.5,205636
2008,"Philadelphia, PA",42101,37090,331349,23.8,201881
2009,"Philadelphia, PA",42101,36959,366125,24.5,191736
