YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Putnam, FL",12107,24590,16846,24.2,12649
1997,"Putnam, FL",12107,25318,15431,22.1,12935
1998,"Putnam, FL",12107,26121,14655,21.0,13296
1999,"Putnam, FL",12107,26869,13381,19.2,13045
2000,"Putnam, FL",12107,27839,13280,19.1,12822
2001,"Putnam, FL",12107,27095,13755,19.7,12646
2002,"Putnam, FL",12107,27191,13660,19.3,12624
2003,"Putnam, FL",12107,28613,13353,18.7,12634
2004,"Putnam, FL",12107,30098,12544,17.3,12241
2005,"Putnam, FL",12107,30958,15013,20.9,12456
2006,"Putnam, FL",12107,31755,16086,22.1,12274
2007,"Putnam, FL",12107,33282,14650,20.2,12101
2008,"Putnam, FL",12107,35168,16680,23.1,11810
2009,"Putnam, FL",12107,31492,18380,25.6,11493
