YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Russell, KS",20167,25829,1034,13.5,1365
1997,"Russell, KS",20167,28214,1060,14.1,1452
1998,"Russell, KS",20167,28264,1039,13.9,1449
1999,"Russell, KS",20167,28784,929,12.8,1392
2000,"Russell, KS",20167,30057,807,11.5,1356
2001,"Russell, KS",20167,29096,882,12.8,1278
2002,"Russell, KS",20167,28502,835,12.3,1257
2003,"Russell, KS",20167,29183,775,11.3,1238
2004,"Russell, KS",20167,30588,852,12.7,1183
2005,"Russell, KS",20167,31275,910,13.8,1184
2006,"Russell, KS",20167,32608,976,14.9,1157
2007,"Russell, KS",20167,35549,898,13.7,1025
2008,"Russell, KS",20167,38635,822,12.8,980
2009,"Russell, KS",20167,36730,900,14.1,962
