YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,SOUTH CAROLINA,45000,30060,575268,15.7,636456
1997,SOUTH CAROLINA,45000,33325,569045,14.9,637517
1998,SOUTH CAROLINA,45000,33465,550127,14.3,644411
1999,SOUTH CAROLINA,45000,35515,518145,13.2,650570
2000,SOUTH CAROLINA,45000,37283,504961,12.8,655650
2001,SOUTH CAROLINA,45000,36953,550775,13.8,668896
2002,SOUTH CAROLINA,45000,37442,567660,14.0,682018
2003,SOUTH CAROLINA,45000,38003,565953,13.8,676292
2004,SOUTH CAROLINA,45000,39454,622083,15.0,699198
2005,SOUTH CAROLINA,45000,39477,641485,15.6,703736
2006,SOUTH CAROLINA,45000,41204,657405,15.7,701544
2007,SOUTH CAROLINA,45000,43508,646061,15.1,703119
2008,SOUTH CAROLINA,45000,44695,680134,15.7,712319
2009,SOUTH CAROLINA,45000,42580,753286,17.1,718113
