YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Schuyler, IL",17169,27374,874,11.4,1180
1997,"Schuyler, IL",17169,30794,866,11.4,1229
1998,"Schuyler, IL",17169,33136,796,10.6,1363
1999,"Schuyler, IL",17169,34634,675,9.5,1307
2000,"Schuyler, IL",17169,36346,680,9.8,1242
2001,"Schuyler, IL",17169,36109,636,9.2,1202
2002,"Schuyler, IL",17169,36753,674,9.7,1161
2003,"Schuyler, IL",17169,37367,659,9.5,1115
2004,"Schuyler, IL",17169,39415,706,10.1,1143
2005,"Schuyler, IL",17169,40636,777,11.2,1165
2006,"Schuyler, IL",17169,39557,783,11.4,1339
2007,"Schuyler, IL",17169,41023,834,12.1,1358
2008,"Schuyler, IL",17169,43053,844,12.4,1345
2009,"Schuyler, IL",17169,44814,879,13.3,1279
