YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Sequoyah, OK",40135,24290,8701,23.6,7822
1997,"Sequoyah, OK",40135,26044,7899,21.0,8097
1998,"Sequoyah, OK",40135,26940,8095,21.3,8101
1999,"Sequoyah, OK",40135,27315,7020,18.1,8245
2000,"Sequoyah, OK",40135,28611,7126,18.2,8349
2001,"Sequoyah, OK",40135,27775,7654,19.5,8529
2002,"Sequoyah, OK",40135,28080,7596,19.1,8466
2003,"Sequoyah, OK",40135,29243,7324,18.2,8509
2004,"Sequoyah, OK",40135,29890,7149,17.6,8612
2005,"Sequoyah, OK",40135,30529,8285,20.6,8852
2006,"Sequoyah, OK",40135,32254,9206,22.6,8897
2007,"Sequoyah, OK",40135,36370,7768,19.2,8982
2008,"Sequoyah, OK",40135,34142,8387,20.7,8807
2009,"Sequoyah, OK",40135,31563,9035,22.1,8926
