YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Shelby, TN",47157,32431,160642,18.7,147972
1997,"Shelby, TN",47157,34583,140104,16.3,154972
1998,"Shelby, TN",47157,36610,135180,15.6,157610
1999,"Shelby, TN",47157,38130,132445,14.9,157126
2000,"Shelby, TN",47157,41048,126682,14.3,159867
2001,"Shelby, TN",47157,40227,130209,14.7,161897
2002,"Shelby, TN",47157,39562,140171,15.7,160702
2003,"Shelby, TN",47157,39099,148518,16.6,160539
2004,"Shelby, TN",47157,39128,171289,19.1,163032
2005,"Shelby, TN",47157,40917,164059,18.5,166015
2006,"Shelby, TN",47157,41274,166031,18.6,166197
2007,"Shelby, TN",47157,44373,179222,20.1,164475
2008,"Shelby, TN",47157,45722,159896,18.0,162260
2009,"Shelby, TN",47157,41880,188373,20.9,159402
