YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Smith, MS",28129,25234,3075,20.2,3014
1997,"Smith, MS",28129,26406,2657,17.2,3092
1998,"Smith, MS",28129,27779,2575,16.5,3077
1999,"Smith, MS",28129,29332,2632,16.1,3160
2000,"Smith, MS",28129,30531,2522,15.7,3119
2001,"Smith, MS",28129,29675,2900,18.1,3146
2002,"Smith, MS",28129,28237,3020,18.9,3136
2003,"Smith, MS",28129,29235,2614,16.4,3064
2004,"Smith, MS",28129,31732,2791,17.3,3103
2005,"Smith, MS",28129,33784,2826,17.8,3091
2006,"Smith, MS",28129,36131,3225,20.3,3149
2007,"Smith, MS",28129,35037,3038,19.1,3125
2008,"Smith, MS",28129,35318,2800,17.8,3073
2009,"Smith, MS",28129,34698,3412,21.7,3025
