YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Sullivan, NY",36105,31692,10312,15.1,11770
1997,"Sullivan, NY",36105,33123,10885,16.2,12096
1998,"Sullivan, NY",36105,33958,11034,16.5,11956
1999,"Sullivan, NY",36105,34290,10167,14.2,11687
2000,"Sullivan, NY",36105,36535,9904,13.9,11595
2001,"Sullivan, NY",36105,35791,10029,14.0,11661
2002,"Sullivan, NY",36105,36508,9646,13.3,11566
2003,"Sullivan, NY",36105,37489,9929,13.5,11667
2004,"Sullivan, NY",36105,39030,9863,13.3,11663
2005,"Sullivan, NY",36105,44678,9387,13.1,11238
2006,"Sullivan, NY",36105,44222,11089,15.1,10968
2007,"Sullivan, NY",36105,45555,10374,14.2,11114
2008,"Sullivan, NY",36105,45930,11978,16.4,10718
2009,"Sullivan, NY",36105,43384,12645,17.4,10380
