YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Trimble, KY",21223,29039,1162,15.9,1216
1997,"Trimble, KY",21223,30948,1149,14.8,1327
1998,"Trimble, KY",21223,32637,1112,14.0,1350
1999,"Trimble, KY",21223,34546,1062,13.1,1473
2000,"Trimble, KY",21223,36509,993,11.8,1386
2001,"Trimble, KY",21223,36096,1048,12.2,1429
2002,"Trimble, KY",21223,37378,1127,12.9,1509
2003,"Trimble, KY",21223,38826,1147,12.7,1614
2004,"Trimble, KY",21223,40179,1271,14.1,1634
2005,"Trimble, KY",21223,41521,1315,14.7,1674
2006,"Trimble, KY",21223,43276,1320,14.7,1656
2007,"Trimble, KY",21223,43994,1290,14.5,1598
2008,"Trimble, KY",21223,45322,1317,14.8,1626
2009,"Trimble, KY",21223,45767,1394,15.7,1513
