YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Van Buren, MI",26159,32273,12151,16.0,17052
1997,"Van Buren, MI",26159,33852,11345,14.9,17234
1998,"Van Buren, MI",26159,35586,10644,13.9,17768
1999,"Van Buren, MI",26159,37591,8728,11.6,17580
2000,"Van Buren, MI",26159,39610,8863,11.7,17646
2001,"Van Buren, MI",26159,38587,8866,11.6,17611
2002,"Van Buren, MI",26159,39019,9917,12.8,17458
2003,"Van Buren, MI",26159,40457,9462,12.2,17443
2004,"Van Buren, MI",26159,41360,10997,14.1,18325
2005,"Van Buren, MI",26159,41114,11802,15.4,18235
2006,"Van Buren, MI",26159,42736,11721,15.1,18175
2007,"Van Buren, MI",26159,44832,12878,16.8,17944
2008,"Van Buren, MI",26159,43702,11455,15.0,17892
2009,"Van Buren, MI",26159,41731,12755,16.6,17783
