YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Wagoner, OK",40145,34614,7473,13.8,5590
1997,"Wagoner, OK",40145,37904,7116,12.8,5657
1998,"Wagoner, OK",40145,40562,6720,11.8,5747
1999,"Wagoner, OK",40145,40662,5889,10.2,5865
2000,"Wagoner, OK",40145,42812,6039,10.3,5930
2001,"Wagoner, OK",40145,42524,6215,10.3,6004
2002,"Wagoner, OK",40145,42531,6359,10.2,6007
2003,"Wagoner, OK",40145,43203,6435,10.2,6026
2004,"Wagoner, OK",40145,44739,6558,10.2,6126
2005,"Wagoner, OK",40145,45462,6808,10.7,6348
2006,"Wagoner, OK",40145,48224,7886,12.0,6542
2007,"Wagoner, OK",40145,53455,7453,11.1,6596
2008,"Wagoner, OK",40145,55274,7572,11.0,6646
2009,"Wagoner, OK",40145,55948,6346,9.1,6746
