YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Washington, PA",42125,31877,25326,12.2,30442
1997,"Washington, PA",42125,34998,24044,11.7,30851
1998,"Washington, PA",42125,36611,23058,11.2,30819
1999,"Washington, PA",42125,36950,19791,9.8,31099
2000,"Washington, PA",42125,38661,17990,9.0,30773
2001,"Washington, PA",42125,38264,18777,9.3,30868
2002,"Washington, PA",42125,39525,18054,8.9,30764
2003,"Washington, PA",42125,40372,19770,9.7,30711
2004,"Washington, PA",42125,41831,21573,10.6,30520
2005,"Washington, PA",42125,44317,20257,10.1,30395
2006,"Washington, PA",42125,45448,20633,10.3,30105
2007,"Washington, PA",42125,47122,19220,9.6,30889
2008,"Washington, PA",42125,50791,20690,10.3,29457
2009,"Washington, PA",42125,48000,22025,10.9,29137
