YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995,"Yellowstone National Park, MT",30113,35960,0,0.0,0
1997,"Yellowstone National Park, MT",30113,0,0,0.0,0
1998,"Yellowstone National Park, MT",30113,0,0,0.0,0
1999,"Yellowstone National Park, MT",30113,0,0,0.0,0
2000,"Yellowstone National Park, MT",30113,0,0,0.0,0
2001,"Yellowstone National Park, MT",30113,0,0,0.0,0
2002,"Yellowstone National Park, MT",30113,0,0,0.0,0
2003,"Yellowstone National Park, MT",30113,0,0,0.0,0
2004,"Yellowstone National Park, MT",30113,0,0,0.0,0
2005,"Yellowstone National Park, MT",30113,0,0,0.0,0
2006,"Yellowstone National Park, MT",30113,0,0,0.0,0
2007,"Yellowstone National Park, MT",30113,0,0,0.0,0
2008,"Yellowstone National Park, MT",30113,0,0,0.0,0
2009,"Yellowstone National Park, MT",30113,0,0,0.0,0
