YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,ALASKA,2000,42255,60735,10.1,125948
1997-01-01,ALASKA,2000,43657,68409,11.2,127185
1998-01-01,ALASKA,2000,47177,65970,10.8,129919
1999-01-01,ALASKA,2000,49133,53963,8.8,132123
2000-01-01,ALASKA,2000,51433,52442,8.5,135374
2001-01-01,ALASKA,2000,52332,54357,8.7,134391
2002-01-01,ALASKA,2000,51844,58932,9.3,133356
2003-01-01,ALASKA,2000,52391,63321,9.9,134358
2004-01-01,ALASKA,2000,52141,64660,10.0,133933
2005-01-01,ALASKA,2000,55477,69093,10.8,132937
2006-01-01,ALASKA,2000,58572,71120,10.9,133288
2007-01-01,ALASKA,2000,62854,65266,9.8,132608
2008-01-01,ALASKA,2000,67332,61871,9.2,131029
2009-01-01,ALASKA,2000,66712,61949,9.1,130662
2010-01-01,ALASKA,2000,67908,66122,9.0,129503
2011-01-01,ALASKA,2000,69792,67473,9.0,128599
2012-01-01,ALASKA,2000,71800,68005,9.0,127749
2013-01-01,ALASKA,2000,73773,68475,9.0,126885
2014-01-01,ALASKA,2000,75701,69033,9.0,125999
2015-01-01,ALASKA,2000,77604,69652,9.0,125100
2016-01-01,ALASKA,2000,79493,70293,9.0,124193
2017-01-01,ALASKA,2000,81372,70934,9.0,123284
2018-01-01,ALASKA,2000,83242,71571,9.0,122374
2019-01-01,ALASKA,2000,85102,72203,9.0,121466
