YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Adams, IN",18001,35845,3220,9.8,5240
1997-01-01,"Adams, IN",18001,38587,3142,9.5,5280
1998-01-01,"Adams, IN",18001,39849,3576,10.7,5392
1999-01-01,"Adams, IN",18001,40240,2962,8.8,5392
2000-01-01,"Adams, IN",18001,42190,3001,9.0,5230
2001-01-01,"Adams, IN",18001,41445,3348,10.1,5210
2002-01-01,"Adams, IN",18001,41489,3393,10.1,5091
2003-01-01,"Adams, IN",18001,41967,3327,9.9,5075
2004-01-01,"Adams, IN",18001,43781,3389,10.1,4946
2005-01-01,"Adams, IN",18001,45381,3806,11.5,4921
2006-01-01,"Adams, IN",18001,41976,4482,13.5,4834
2007-01-01,"Adams, IN",18001,46601,4146,12.5,4758
2008-01-01,"Adams, IN",18001,43304,4244,12.7,4707
2009-01-01,"Adams, IN",18001,42994,5322,15.8,4724
2010-01-01,"Adams, IN",18001,48019,4648,13.0,4635
2011-01-01,"Adams, IN",18001,48809,4758,14.0,4484
2012-01-01,"Adams, IN",18001,48848,5165,15.0,4357
2013-01-01,"Adams, IN",18001,49359,5535,16.0,4248
2014-01-01,"Adams, IN",18001,50345,5831,17.0,4137
2015-01-01,"Adams, IN",18001,51522,6114,18.0,4015
2016-01-01,"Adams, IN",18001,52748,6422,19.0,3881
2017-01-01,"Adams, IN",18001,54017,6763,20.0,3736
2018-01-01,"Adams, IN",18001,55365,7135,21.0,3581
2019-01-01,"Adams, IN",18001,56817,7534,22.0,3414
