YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Aitkin, MN",27001,25176,2049,14.9,2345
1997-01-01,"Aitkin, MN",27001,26746,2125,14.9,2424
1998-01-01,"Aitkin, MN",27001,28580,2238,15.6,2392
1999-01-01,"Aitkin, MN",27001,30840,1779,11.7,2378
2000-01-01,"Aitkin, MN",27001,32085,1766,11.6,2361
2001-01-01,"Aitkin, MN",27001,31100,1982,12.8,2334
2002-01-01,"Aitkin, MN",27001,31992,1875,12.0,2291
2003-01-01,"Aitkin, MN",27001,32928,1726,10.8,2261
2004-01-01,"Aitkin, MN",27001,33632,1811,11.3,2203
2005-01-01,"Aitkin, MN",27001,37268,2295,14.4,2180
2006-01-01,"Aitkin, MN",27001,36157,2354,14.8,2119
2007-01-01,"Aitkin, MN",27001,38610,2100,13.4,2084
2008-01-01,"Aitkin, MN",27001,39680,2158,13.9,2086
2009-01-01,"Aitkin, MN",27001,38924,2307,15.0,2024
2010-01-01,"Aitkin, MN",27001,39768,2399,15.0,2019
2011-01-01,"Aitkin, MN",27001,40072,2434,15.0,2007
2012-01-01,"Aitkin, MN",27001,40276,2464,16.0,1999
2013-01-01,"Aitkin, MN",27001,40412,2489,16.0,1992
2014-01-01,"Aitkin, MN",27001,40495,2509,16.0,1988
2015-01-01,"Aitkin, MN",27001,40534,2524,16.0,1985
2016-01-01,"Aitkin, MN",27001,40539,2535,16.0,1984
2017-01-01,"Aitkin, MN",27001,40518,2543,16.0,1984
2018-01-01,"Aitkin, MN",27001,40479,2547,17.0,1985
2019-01-01,"Aitkin, MN",27001,40427,2550,17.0,1987
