YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Allegan, MI",26005,39854,8835,8.8,17249
1997-01-01,"Allegan, MI",26005,43128,8405,8.2,17578
1998-01-01,"Allegan, MI",26005,45003,8871,8.5,18059
1999-01-01,"Allegan, MI",26005,45691,7682,7.3,18071
2000-01-01,"Allegan, MI",26005,47594,7557,7.1,18189
2001-01-01,"Allegan, MI",26005,46561,8087,7.5,18258
2002-01-01,"Allegan, MI",26005,46478,9093,8.3,18321
2003-01-01,"Allegan, MI",26005,46626,9401,8.4,18685
2004-01-01,"Allegan, MI",26005,48045,10603,9.4,19228
2005-01-01,"Allegan, MI",26005,47662,10627,9.6,19500
2006-01-01,"Allegan, MI",26005,50650,10859,9.7,19123
2007-01-01,"Allegan, MI",26005,51233,11883,10.7,15826
2008-01-01,"Allegan, MI",26005,49784,12855,11.5,15872
2009-01-01,"Allegan, MI",26005,50487,12850,11.5,15716
2010-01-01,"Allegan, MI",26005,50215,13338,11.0,15610
2011-01-01,"Allegan, MI",26005,50261,13768,12.0,15619
2012-01-01,"Allegan, MI",26005,50537,14132,12.0,15516
2013-01-01,"Allegan, MI",26005,50861,14449,12.0,15258
2014-01-01,"Allegan, MI",26005,51106,14741,13.0,14925
2015-01-01,"Allegan, MI",26005,51245,15022,13.0,14609
2016-01-01,"Allegan, MI",26005,51320,15293,13.0,14359
2017-01-01,"Allegan, MI",26005,51385,15550,13.0,14172
2018-01-01,"Allegan, MI",26005,51468,15789,14.0,14017
2019-01-01,"Allegan, MI",26005,51570,16007,14.0,13868
