YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Alpine, CA",6003,28492,206,16.4,151
1997-01-01,"Alpine, CA",6003,31080,210,17.5,174
1998-01-01,"Alpine, CA",6003,31444,212,17.9,164
1999-01-01,"Alpine, CA",6003,35654,184,15.3,140
2000-01-01,"Alpine, CA",6003,39640,210,17.7,125
2001-01-01,"Alpine, CA",6003,38401,190,15.7,123
2002-01-01,"Alpine, CA",6003,37691,188,15.6,150
2003-01-01,"Alpine, CA",6003,38803,155,13.1,163
2004-01-01,"Alpine, CA",6003,42827,153,13.2,148
2005-01-01,"Alpine, CA",6003,45283,191,16.6,141
2006-01-01,"Alpine, CA",6003,47515,192,16.4,133
2007-01-01,"Alpine, CA",6003,46136,181,15.9,138
2008-01-01,"Alpine, CA",6003,49320,165,15.7,127
2009-01-01,"Alpine, CA",6003,45391,179,17.3,129
2010-01-01,"Alpine, CA",6003,42204,192,18.0,111
2011-01-01,"Alpine, CA",6003,37006,209,19.0,104
2012-01-01,"Alpine, CA",6003,30686,226,21.0,103
2013-01-01,"Alpine, CA",6003,23947,242,21.0,105
2014-01-01,"Alpine, CA",6003,17390,255,22.0,111
2015-01-01,"Alpine, CA",6003,11553,266,22.0,120
2016-01-01,"Alpine, CA",6003,6899,273,22.0,130
2017-01-01,"Alpine, CA",6003,3809,275,22.0,142
2018-01-01,"Alpine, CA",6003,2551,273,21.0,154
2019-01-01,"Alpine, CA",6003,3266,267,20.0,165
