YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Amelia, VA",51007,30695,1164,11.6,1696
1997-01-01,"Amelia, VA",51007,33121,1297,12.3,1743
1998-01-01,"Amelia, VA",51007,35628,1251,11.6,1827
1999-01-01,"Amelia, VA",51007,38276,1102,9.7,1806
2000-01-01,"Amelia, VA",51007,40929,1072,9.3,1804
2001-01-01,"Amelia, VA",51007,41052,1027,8.8,1808
2002-01-01,"Amelia, VA",51007,41493,1068,9.1,1788
2003-01-01,"Amelia, VA",51007,42530,1150,9.7,1733
2004-01-01,"Amelia, VA",51007,45008,1110,9.1,1724
2005-01-01,"Amelia, VA",51007,46320,1198,9.9,1761
2006-01-01,"Amelia, VA",51007,47140,1140,9.2,1768
2007-01-01,"Amelia, VA",51007,52421,1145,9.1,1847
2008-01-01,"Amelia, VA",51007,49180,1215,9.6,1880
2009-01-01,"Amelia, VA",51007,47971,1433,11.3,1849
2010-01-01,"Amelia, VA",51007,52052,1352,10.0,1844
2011-01-01,"Amelia, VA",51007,54643,1324,9.0,1845
2012-01-01,"Amelia, VA",51007,56387,1322,9.0,1851
2013-01-01,"Amelia, VA",51007,57694,1331,9.0,1860
2014-01-01,"Amelia, VA",51007,58816,1343,9.0,1867
2015-01-01,"Amelia, VA",51007,59877,1354,9.0,1873
2016-01-01,"Amelia, VA",51007,60920,1365,9.0,1878
2017-01-01,"Amelia, VA",51007,61942,1375,9.0,1882
2018-01-01,"Amelia, VA",51007,62935,1386,9.0,1887
2019-01-01,"Amelia, VA",51007,63891,1397,9.0,1891
