YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Aroostook, ME",23003,26161,13182,17.5,15662
1997-01-01,"Aroostook, ME",23003,29124,11152,15.0,14393
1998-01-01,"Aroostook, ME",23003,29458,10267,14.1,14124
1999-01-01,"Aroostook, ME",23003,29003,10115,13.8,13939
2000-01-01,"Aroostook, ME",23003,30094,9656,13.4,13349
2001-01-01,"Aroostook, ME",23003,29248,10105,14.1,13006
2002-01-01,"Aroostook, ME",23003,29815,11047,15.3,12162
2003-01-01,"Aroostook, ME",23003,31463,10374,14.3,11968
2004-01-01,"Aroostook, ME",23003,32629,10918,15.1,11742
2005-01-01,"Aroostook, ME",23003,32435,11736,16.6,11653
2006-01-01,"Aroostook, ME",23003,33040,11972,16.8,11502
2007-01-01,"Aroostook, ME",23003,35438,12273,17.4,11301
2008-01-01,"Aroostook, ME",23003,36107,10597,15.2,10918
2009-01-01,"Aroostook, ME",23003,34868,11441,16.4,10755
2010-01-01,"Aroostook, ME",23003,35265,11633,16.0,10568
2011-01-01,"Aroostook, ME",23003,35824,11764,16.0,10443
2012-01-01,"Aroostook, ME",23003,36293,11817,16.0,10340
2013-01-01,"Aroostook, ME",23003,36614,11836,17.0,10248
2014-01-01,"Aroostook, ME",23003,36831,11853,17.0,10163
2015-01-01,"Aroostook, ME",23003,36999,11877,17.0,10085
2016-01-01,"Aroostook, ME",23003,37153,11908,17.0,10013
2017-01-01,"Aroostook, ME",23003,37303,11938,17.0,9949
2018-01-01,"Aroostook, ME",23003,37447,11966,17.0,9891
2019-01-01,"Aroostook, ME",23003,37579,11990,17.0,9840
