YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Atlantic, NJ",34001,37205,25465,10.9,36660
1997-01-01,"Atlantic, NJ",34001,38124,25502,10.8,38343
1998-01-01,"Atlantic, NJ",34001,39698,24945,10.5,0
1999-01-01,"Atlantic, NJ",34001,40472,23797,9.6,40388
2000-01-01,"Atlantic, NJ",34001,42849,23804,9.5,41143
2001-01-01,"Atlantic, NJ",34001,41909,24621,9.7,42863
2002-01-01,"Atlantic, NJ",34001,42245,26111,10.1,43444
2003-01-01,"Atlantic, NJ",34001,43153,28439,10.8,44767
2004-01-01,"Atlantic, NJ",34001,44782,26674,10.0,48982
2005-01-01,"Atlantic, NJ",34001,49662,24852,9.4,47389
2006-01-01,"Atlantic, NJ",34001,51554,25264,9.5,48157
2007-01-01,"Atlantic, NJ",34001,54340,31488,11.9,47605
2008-01-01,"Atlantic, NJ",34001,52409,29498,11.1,46953
2009-01-01,"Atlantic, NJ",34001,51585,28926,10.9,47132
2010-01-01,"Atlantic, NJ",34001,51687,28820,10.0,47435
2011-01-01,"Atlantic, NJ",34001,51856,28822,10.0,47912
2012-01-01,"Atlantic, NJ",34001,52040,28873,10.0,48171
2013-01-01,"Atlantic, NJ",34001,52210,28932,10.0,48363
2014-01-01,"Atlantic, NJ",34001,52358,28988,10.0,48504
2015-01-01,"Atlantic, NJ",34001,52484,29038,10.0,48610
2016-01-01,"Atlantic, NJ",34001,52587,29081,10.0,48690
2017-01-01,"Atlantic, NJ",34001,52673,29116,10.0,48751
2018-01-01,"Atlantic, NJ",34001,52742,29146,10.0,48798
2019-01-01,"Atlantic, NJ",34001,52797,29169,10.0,48834
