YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Bacon, GA",13005,25054,2331,22.4,2161
1997-01-01,"Bacon, GA",13005,25594,2336,22.5,2176
1998-01-01,"Bacon, GA",13005,27279,2164,20.8,2098
1999-01-01,"Bacon, GA",13005,27024,1970,19.8,2091
2000-01-01,"Bacon, GA",13005,28055,1807,18.2,1997
2001-01-01,"Bacon, GA",13005,27466,1765,18.0,1942
2002-01-01,"Bacon, GA",13005,27052,1819,18.2,1920
2003-01-01,"Bacon, GA",13005,27810,1807,17.9,1878
2004-01-01,"Bacon, GA",13005,28270,1843,18.2,1884
2005-01-01,"Bacon, GA",13005,29342,2193,21.8,1879
2006-01-01,"Bacon, GA",13005,30872,2020,20.1,1872
2007-01-01,"Bacon, GA",13005,31424,2155,21.3,1850
2008-01-01,"Bacon, GA",13005,33481,1933,19.3,1891
2009-01-01,"Bacon, GA",13005,30148,2267,22.3,1851
2010-01-01,"Bacon, GA",13005,32525,2128,20.0,1880
2011-01-01,"Bacon, GA",13005,31888,2223,21.0,1884
2012-01-01,"Bacon, GA",13005,32484,2167,21.0,1884
2013-01-01,"Bacon, GA",13005,32245,2191,21.0,1881
2014-01-01,"Bacon, GA",13005,32435,2172,21.0,1878
2015-01-01,"Bacon, GA",13005,32381,2180,21.0,1876
2016-01-01,"Bacon, GA",13005,32467,2175,21.0,1874
2017-01-01,"Bacon, GA",13005,32479,2178,21.0,1872
2018-01-01,"Bacon, GA",13005,32532,2178,21.0,1871
2019-01-01,"Bacon, GA",13005,32559,2181,21.0,1870
