YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Benton, OR",41003,38475,7412,10.3,10317
1997-01-01,"Benton, OR",41003,43632,6711,9.1,10231
1998-01-01,"Benton, OR",41003,45181,7383,10.1,10396
1999-01-01,"Benton, OR",41003,43079,7257,9.8,10315
2000-01-01,"Benton, OR",41003,44113,6867,9.3,10223
2001-01-01,"Benton, OR",41003,43830,7237,9.8,9946
2002-01-01,"Benton, OR",41003,43613,7334,9.8,9996
2003-01-01,"Benton, OR",41003,43489,8497,11.4,9820
2004-01-01,"Benton, OR",41003,45247,9304,12.5,9496
2005-01-01,"Benton, OR",41003,45406,11754,15.9,9300
2006-01-01,"Benton, OR",41003,48301,10980,14.7,8899
2007-01-01,"Benton, OR",41003,49061,13592,17.6,9103
2008-01-01,"Benton, OR",41003,53661,12134,15.6,9064
2009-01-01,"Benton, OR",41003,47931,14037,18.0,9030
2010-01-01,"Benton, OR",41003,53624,12555,16.0,8854
2011-01-01,"Benton, OR",41003,50280,14449,18.0,8883
2012-01-01,"Benton, OR",41003,53590,13572,17.0,8742
2013-01-01,"Benton, OR",41003,51768,14826,18.0,8733
2014-01-01,"Benton, OR",41003,53920,14430,18.0,8624
2015-01-01,"Benton, OR",41003,53004,15301,19.0,8595
2016-01-01,"Benton, OR",41003,54451,15183,19.0,8506
2017-01-01,"Benton, OR",41003,54061,15816,20.0,8467
2018-01-01,"Benton, OR",41003,55075,15856,20.0,8392
2019-01-01,"Benton, OR",41003,54989,16341,20.0,8347
