YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Bossier, LA",22015,33216,12708,13.9,18568
1997-01-01,"Bossier, LA",22015,35521,11806,12.8,18741
1998-01-01,"Bossier, LA",22015,36537,12055,12.9,19063
1999-01-01,"Bossier, LA",22015,37372,12794,13.2,18931
2000-01-01,"Bossier, LA",22015,39570,11651,11.9,18674
2001-01-01,"Bossier, LA",22015,38360,12306,12.5,18800
2002-01-01,"Bossier, LA",22015,38666,12577,12.5,18797
2003-01-01,"Bossier, LA",22015,40581,13689,13.4,18595
2004-01-01,"Bossier, LA",22015,42141,14915,14.4,18771
2005-01-01,"Bossier, LA",22015,44110,15350,14.9,18868
2006-01-01,"Bossier, LA",22015,46316,12644,12.1,19202
2007-01-01,"Bossier, LA",22015,47539,15889,15.0,19393
2008-01-01,"Bossier, LA",22015,49331,14715,13.6,19526
2009-01-01,"Bossier, LA",22015,49053,15618,14.3,19707
2010-01-01,"Bossier, LA",22015,50722,15839,14.0,19480
2011-01-01,"Bossier, LA",22015,52096,16387,14.0,19460
2012-01-01,"Bossier, LA",22015,53561,16677,14.0,19533
2013-01-01,"Bossier, LA",22015,54942,16956,14.0,19654
2014-01-01,"Bossier, LA",22015,56285,17244,14.0,19771
2015-01-01,"Bossier, LA",22015,57617,17567,15.0,19867
2016-01-01,"Bossier, LA",22015,58962,17913,15.0,19945
2017-01-01,"Bossier, LA",22015,60328,18271,15.0,20017
2018-01-01,"Bossier, LA",22015,61713,18628,15.0,20090
2019-01-01,"Bossier, LA",22015,63112,18984,15.0,20166
