YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Bureau, IL",17011,33459,2978,8.3,6564
1997-01-01,"Bureau, IL",17011,36572,3107,8.7,6606
1998-01-01,"Bureau, IL",17011,37599,3135,8.9,7455
1999-01-01,"Bureau, IL",17011,39069,2776,7.9,7336
2000-01-01,"Bureau, IL",17011,41124,2815,8.1,6340
2001-01-01,"Bureau, IL",17011,40873,2882,8.2,6260
2002-01-01,"Bureau, IL",17011,41284,3005,8.6,6070
2003-01-01,"Bureau, IL",17011,41875,3000,8.6,5965
2004-01-01,"Bureau, IL",17011,43539,3100,8.8,5841
2005-01-01,"Bureau, IL",17011,43667,3491,10.1,5828
2006-01-01,"Bureau, IL",17011,42288,3740,10.8,5820
2007-01-01,"Bureau, IL",17011,45794,3436,9.9,5974
2008-01-01,"Bureau, IL",17011,46891,3407,9.9,5946
2009-01-01,"Bureau, IL",17011,47015,4378,12.8,5789
2010-01-01,"Bureau, IL",17011,49068,4274,12.0,6051
2011-01-01,"Bureau, IL",17011,50440,4319,12.0,6100
2012-01-01,"Bureau, IL",17011,51638,4330,12.0,5909
2013-01-01,"Bureau, IL",17011,52539,4409,13.0,5696
2014-01-01,"Bureau, IL",17011,53341,4528,13.0,5548
2015-01-01,"Bureau, IL",17011,54157,4664,13.0,5480
2016-01-01,"Bureau, IL",17011,55037,4794,14.0,5457
2017-01-01,"Bureau, IL",17011,55968,4912,14.0,5441
2018-01-01,"Bureau, IL",17011,56916,5019,14.0,5411
2019-01-01,"Bureau, IL",17011,57855,5122,15.0,5364
