YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Calcasieu, LA",22019,31618,29388,16.5,34373
1997-01-01,"Calcasieu, LA",22019,34175,25313,14.1,34163
1998-01-01,"Calcasieu, LA",22019,35533,26123,14.5,35782
1999-01-01,"Calcasieu, LA",22019,34900,27383,15.2,33534
2000-01-01,"Calcasieu, LA",22019,36307,25258,14.1,33115
2001-01-01,"Calcasieu, LA",22019,35440,27210,15.3,32562
2002-01-01,"Calcasieu, LA",22019,35281,27734,15.4,32261
2003-01-01,"Calcasieu, LA",22019,36587,29535,16.3,31644
2004-01-01,"Calcasieu, LA",22019,36772,31567,17.4,32149
2005-01-01,"Calcasieu, LA",22019,36050,32049,17.8,32449
2006-01-01,"Calcasieu, LA",22019,39328,29173,16.2,31877
2007-01-01,"Calcasieu, LA",22019,42018,31383,17.5,32247
2008-01-01,"Calcasieu, LA",22019,44826,27833,15.4,34054
2009-01-01,"Calcasieu, LA",22019,43534,30062,16.4,33996
2010-01-01,"Calcasieu, LA",22019,42323,32622,17.0,33512
2011-01-01,"Calcasieu, LA",22019,42627,32456,17.0,33260
2012-01-01,"Calcasieu, LA",22019,43034,32370,17.0,33175
2013-01-01,"Calcasieu, LA",22019,43435,32381,17.0,33169
2014-01-01,"Calcasieu, LA",22019,43791,32464,17.0,33193
2015-01-01,"Calcasieu, LA",22019,44099,32587,17.0,33221
2016-01-01,"Calcasieu, LA",22019,44366,32724,17.0,33246
2017-01-01,"Calcasieu, LA",22019,44602,32861,18.0,33265
2018-01-01,"Calcasieu, LA",22019,44815,32990,18.0,33280
2019-01-01,"Calcasieu, LA",22019,45008,33110,18.0,33292
