YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Charlottesville, VA",51540,29866,7796,21.5,4556
1997-01-01,"Charlottesville, VA",51540,32597,7714,21.6,4440
1998-01-01,"Charlottesville, VA",51540,34270,5885,16.7,4378
1999-01-01,"Charlottesville, VA",51540,31768,5804,15.0,4408
2000-01-01,"Charlottesville, VA",51540,32903,6470,16.8,4396
2001-01-01,"Charlottesville, VA",51540,33223,5556,14.6,4411
2002-01-01,"Charlottesville, VA",51540,32785,6184,16.4,4458
2003-01-01,"Charlottesville, VA",51540,31206,6233,17.8,4411
2004-01-01,"Charlottesville, VA",51540,31246,6720,17.2,4422
2005-01-01,"Charlottesville, VA",51540,33041,9101,23.7,4405
2006-01-01,"Charlottesville, VA",51540,35147,9240,24.0,4331
2007-01-01,"Charlottesville, VA",51540,37195,9299,23.6,0
2008-01-01,"Charlottesville, VA",51540,42948,8640,21.8,0
2009-01-01,"Charlottesville, VA",51540,39030,8666,21.4,0
2010-01-01,"Charlottesville, VA",51540,41143,8893,22.0,279
2011-01-01,"Charlottesville, VA",51540,40707,8740,21.0,-265
2012-01-01,"Charlottesville, VA",51540,41400,8798,21.0,-225
2013-01-01,"Charlottesville, VA",51540,41354,8788,21.0,-422
2014-01-01,"Charlottesville, VA",51540,41654,8844,21.0,-463
2015-01-01,"Charlottesville, VA",51540,41753,8873,21.0,-579
2016-01-01,"Charlottesville, VA",51540,41952,8915,21.0,-652
2017-01-01,"Charlottesville, VA",51540,42088,8946,21.0,-743
2018-01-01,"Charlottesville, VA",51540,42246,8977,21.0,-818
2019-01-01,"Charlottesville, VA",51540,42378,9005,21.0,-894
