YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Cherokee, KS",20021,25149,3957,17.5,3933
1997-01-01,"Cherokee, KS",20021,27729,3894,17.2,3930
1998-01-01,"Cherokee, KS",20021,29322,3870,17.2,4049
1999-01-01,"Cherokee, KS",20021,30124,3505,15.7,4094
2000-01-01,"Cherokee, KS",20021,31424,3085,14.0,4057
2001-01-01,"Cherokee, KS",20021,30891,3147,14.5,3996
2002-01-01,"Cherokee, KS",20021,31027,3202,14.8,3944
2003-01-01,"Cherokee, KS",20021,32114,3147,14.5,3953
2004-01-01,"Cherokee, KS",20021,33151,3323,15.6,3884
2005-01-01,"Cherokee, KS",20021,32394,3609,17.1,3835
2006-01-01,"Cherokee, KS",20021,34592,3921,18.7,3830
2007-01-01,"Cherokee, KS",20021,38226,2715,13.0,3857
2008-01-01,"Cherokee, KS",20021,37621,3434,16.6,3831
2009-01-01,"Cherokee, KS",20021,35201,3789,18.4,3875
2010-01-01,"Cherokee, KS",20021,36947,2954,14.0,3853
2011-01-01,"Cherokee, KS",20021,36694,3238,15.0,3792
2012-01-01,"Cherokee, KS",20021,37265,3351,16.0,3759
2013-01-01,"Cherokee, KS",20021,37905,3445,16.0,3752
2014-01-01,"Cherokee, KS",20021,38522,3436,16.0,3760
2015-01-01,"Cherokee, KS",20021,38960,3371,16.0,3769
2016-01-01,"Cherokee, KS",20021,39227,3303,16.0,3767
2017-01-01,"Cherokee, KS",20021,39414,3273,16.0,3754
2018-01-01,"Cherokee, KS",20021,39616,3283,16.0,3737
2019-01-01,"Cherokee, KS",20021,39876,3312,16.0,3722
