YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Chippewa, MI",26033,28957,5034,15.5,5960
1997-01-01,"Chippewa, MI",26033,30477,4854,14.7,5669
1998-01-01,"Chippewa, MI",26033,31564,4866,14.8,5932
1999-01-01,"Chippewa, MI",26033,32946,4132,12.5,5939
2000-01-01,"Chippewa, MI",26033,34537,4510,13.8,6028
2001-01-01,"Chippewa, MI",26033,33226,4611,14.0,6833
2002-01-01,"Chippewa, MI",26033,32989,4879,14.7,7122
2003-01-01,"Chippewa, MI",26033,33518,4306,13.0,5716
2004-01-01,"Chippewa, MI",26033,34378,4900,14.8,5880
2005-01-01,"Chippewa, MI",26033,35329,5400,16.5,5866
2006-01-01,"Chippewa, MI",26033,38518,5157,15.7,5728
2007-01-01,"Chippewa, MI",26033,39171,5382,16.5,5647
2008-01-01,"Chippewa, MI",26033,41173,5848,18.0,5559
2009-01-01,"Chippewa, MI",26033,38242,6136,19.0,5491
2010-01-01,"Chippewa, MI",26033,38238,5994,18.0,5383
2011-01-01,"Chippewa, MI",26033,38681,5965,18.0,5261
2012-01-01,"Chippewa, MI",26033,39104,6030,18.0,5242
2013-01-01,"Chippewa, MI",26033,39409,6099,18.0,5230
2014-01-01,"Chippewa, MI",26033,39650,6157,19.0,5202
2015-01-01,"Chippewa, MI",26033,39861,6210,19.0,5169
2016-01-01,"Chippewa, MI",26033,40054,6260,19.0,5136
2017-01-01,"Chippewa, MI",26033,40233,6308,19.0,5103
2018-01-01,"Chippewa, MI",26033,40398,6354,19.0,5071
2019-01-01,"Chippewa, MI",26033,40554,6396,19.0,5041
