YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Clay, IA",19041,33304,1462,8.2,3132
1997-01-01,"Clay, IA",19041,37019,1484,8.4,3107
1998-01-01,"Clay, IA",19041,37353,1528,8.8,3038
1999-01-01,"Clay, IA",19041,36625,1355,7.8,3012
2000-01-01,"Clay, IA",19041,38258,1270,7.4,2963
2001-01-01,"Clay, IA",19041,37648,1260,7.4,2879
2002-01-01,"Clay, IA",19041,37831,1422,8.4,2853
2003-01-01,"Clay, IA",19041,39004,1411,8.4,2720
2004-01-01,"Clay, IA",19041,41339,1583,9.4,2668
2005-01-01,"Clay, IA",19041,41087,1550,9.3,2593
2006-01-01,"Clay, IA",19041,40521,1534,9.3,2564
2007-01-01,"Clay, IA",19041,43438,1672,10.2,2548
2008-01-01,"Clay, IA",19041,44746,1766,10.8,2504
2009-01-01,"Clay, IA",19041,44294,1476,9.0,2460
2010-01-01,"Clay, IA",19041,42411,1577,9.0,2403
2011-01-01,"Clay, IA",19041,44437,1693,10.0,2370
2012-01-01,"Clay, IA",19041,45066,1702,10.0,2332
2013-01-01,"Clay, IA",19041,45353,1715,10.0,2295
2014-01-01,"Clay, IA",19041,45777,1738,10.0,2260
2015-01-01,"Clay, IA",19041,46207,1758,10.0,2226
2016-01-01,"Clay, IA",19041,46603,1777,11.0,2194
2017-01-01,"Clay, IA",19041,46980,1795,11.0,2163
2018-01-01,"Clay, IA",19041,47343,1812,11.0,2133
2019-01-01,"Clay, IA",19041,47690,1829,11.0,2105
