YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Crawford, WI",55023,27165,1889,11.4,2796
1997-01-01,"Crawford, WI",55023,29849,1829,11.0,2851
1998-01-01,"Crawford, WI",55023,31033,1968,11.9,2846
1999-01-01,"Crawford, WI",55023,33088,1731,10.3,2846
2000-01-01,"Crawford, WI",55023,35218,1726,10.5,2827
2001-01-01,"Crawford, WI",55023,34332,1825,11.1,2731
2002-01-01,"Crawford, WI",55023,34555,1776,10.8,2670
2003-01-01,"Crawford, WI",55023,34854,1648,10.1,2564
2004-01-01,"Crawford, WI",55023,36196,1911,11.6,2517
2005-01-01,"Crawford, WI",55023,40175,1866,11.4,2458
2006-01-01,"Crawford, WI",55023,39206,1970,12.1,2377
2007-01-01,"Crawford, WI",55023,41072,1890,11.7,2359
2008-01-01,"Crawford, WI",55023,41646,1926,12.0,2338
2009-01-01,"Crawford, WI",55023,36060,2511,15.8,2300
2010-01-01,"Crawford, WI",55023,31663,2567,15.0,2417
2011-01-01,"Crawford, WI",55023,30787,2391,14.0,2576
2012-01-01,"Crawford, WI",55023,31442,2160,13.0,2691
2013-01-01,"Crawford, WI",55023,32394,1986,12.0,2741
2014-01-01,"Crawford, WI",55023,33218,1893,11.0,2743
2015-01-01,"Crawford, WI",55023,33860,1862,11.0,2719
2016-01-01,"Crawford, WI",55023,34348,1868,11.0,2686
2017-01-01,"Crawford, WI",55023,34699,1891,11.0,2654
2018-01-01,"Crawford, WI",55023,34925,1920,11.0,2627
2019-01-01,"Crawford, WI",55023,35043,1949,11.0,2606
